Certainty.to.vote.in.general.election.10.is.certain,GEVote,DidyouvoteGE2015,Past.vote,Eurefvote,Certainty.to.vote.in.EU.referendum.10.is.certain,Gender,Age,Region,Ethnicity,Education,Housing,mosaic_2014_groups,parliamentary_constituency,local_authority
3,UKIP,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Leave,"",Male,54,North.West,White,Dont.know,Prefer.not.to.say,E,E14000708,E08000012
10,Conservative,Yes.I.voted,Conservative,Remain,8,Female,54,South.East,White,Level.3,Owned.with.a.mortgage.or.loan,B,E14000918,E07000111
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Female,69,East.of.England,White,Other,Owned.outright.by.household,C,E14000693,E07000072
10,Labour,Yes.I.voted,Labour,Remain,10,Male,39,London,White,Level.1,Owned.with.a.mortgage.or.loan,A,E14000870,E08000004
10,Labour,Yes.I.voted,UKIP,Leave,10,Female,58,East.of.England,Prefer.not.to.say,Level.2,Owned.outright.by.household,C,E14000939,E07000140
"",Labour,No.I.was.ineligible.to.vote.in.that.General.Election,"",Remain,10,Female,53,Scotland,White,Level.4,Owned.with.a.mortgage.or.loan,C,S14000015,S12000041
10,Labour,Yes.I.voted,Labour,Remain,10,Female,51,West.Midlands,Asian/Asian.British,Level.4,Owned.with.a.mortgage.or.loan,B,E14000562,E08000025
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,45,East.Midlands,White,Dont.know,Rented.from.private.landlord,D,E14000583,E07000132
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,67,Yorkshire.and.The.Humber,White,Level.2,Owned.outright.by.household,M,E14000903,E08000018
8,Labour,Yes.I.voted,Labour,"","",Female,34,London,Asian/Asian.British,Level.4,Owned.outright.by.household,N,E14000718,E09000011
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,65,North.West,White,Level.3,Owned.outright.by.household,E,E14000758,E07000120
"",Would.not.vote,No.I.chose.not.to.vote,"",Remain,6,Female,40,Wales,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,J,W07000076,W06000018
10,Labour,Yes.I.voted,Labour,Remain,"",Male,23,West.Midlands,White,Level.4,Rented.from.private.landlord,J,E14000802,E06000049
10,Conservative,Yes.I.voted,Conservative,"","",Female,48,East.of.England,White,Level.4,Being.bought.on.a.mortgage,M,E14000739,E07000096
7,Conservative,No.I.chose.not.to.vote,"",Leave,10,Male,45,South.East,White,Level.1,Rented.from.council/local.authority,I,E14000739,E07000096
10,Dont.know,Yes.I.voted,Liberal.Democrat,Remain,10,Female,59,West.Midlands,White,Other,Owned.outright.by.household,B,E14000974,E06000021
"",Conservative,Yes.I.voted,Conservative,Remain,10,Female,68,Scotland,White,Other,Owned.outright.by.household,B,S14000001,S12000033
10,Labour,Yes.I.voted,Labour,Leave,10,Female,29,Wales,White,Level.4,Owned.with.a.mortgage.or.loan,D,W07000069,W06000012
9,Dont.know,Yes.I.voted,Conservative,Dont.know,8,Male,47,West.Midlands,White,Level.4,Owned.with.a.mortgage.or.loan,G,E14000637,E07000118
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,64,North.East,White,Apprenticeship,Owned.outright.by.household,F,E14001006,E08000022
"",Dont.know,Yes.I.voted,Dont.know,Dont.know,7,Female,70,Wales,White,Level.2,Owned.outright.by.household,D,W07000057,W06000002
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,56,West.Midlands,White,Level.3,Owned.outright.by.household,G,E14000976,E08000027
"",Labour,Yes.I.voted,Labour,Remain,10,Male,55,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,F,S14000047,S12000044
10,Dont.know,Yes.I.voted,Labour,Leave,10,Female,61,Yorkshire.and.The.Humber,White,Dont.know,Owned.outright.by.household,I,E14000826,E08000036
8,Other.party,Yes.I.voted,Other.party,"","",Female,58,Yorkshire.and.The.Humber,White,No.formal.qualifications,Rented.from.private.landlord,H,S14000044,S12000040
"",Labour,Yes.I.voted,Labour,Leave,10,Male,65,Wales,White,Level.1,Owned.outright.by.household,M,W07000059,W06000003
"",Conservative,Yes.I.voted,Conservative,Leave,10,Female,72,Wales,White,Level.2,Owned.outright.by.household,D,E14000537,E08000004
10,Dont.know,Yes.I.voted,Dont.remember,Leave,10,Female,79,Scotland,White,0,Prefer.not.to.say,E,S14000026,S12000036
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,60,Scotland,White,Level.2,Shared.ownership.part.owned.and.part.rented,O,S14000024,S12000036
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Male,67,Scotland,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,L,S14000004,S12000041
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,7,Female,50,Scotland,White,Level.2,Owned.with.a.mortgage.or.loan,O,S14000001,S12000033
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,71,South.West,White,Level.4,Owned.outright.by.household,D,E14000938,E06000052
"",Green.Party,Yes.I.voted,Green.Party,Leave,10,Female,39,London,White,Level.1,Rented.from.council/local.authority,K,E14000764,E09000019
"",UKIP,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Leave,10,Male,59,Wales,White,Level.3,Owned.with.a.mortgage.or.loan,G,W07000078,W06000014
10,Conservative,Yes.I.voted,Conservative,"","",Male,61,Wales,White,Level.1.or.2,Owned.outright.by.household,B,W07000051,W06000015
"",Conservative,Yes.I.voted,Conservative,Leave,10,Male,74,Scotland,White,Level.4,Owned.outright.by.household,B,S14000006,S12000028
10,Labour,Yes.I.voted,Labour,Leave,10,Male,38,South.East,White,Level.1,Owned.outright.by.household,G,E14000762,E06000046
10,Labour,Yes.I.voted,Labour,Remain,10,Male,36,Scotland,White,Level.4,Rented.from.a.private.landlord.or.letting.agency,J,E14000542,E08000016
10,Labour,Yes.I.voted,Labour,Remain,10,Male,74,West.Midlands,White,Level.1,Owned.outright.by.household,E,E14000841,E06000055
8,Labour,No.I.was.ineligible.to.vote.in.that.General.Election,"",Remain,8,Male,32,London,Black/Black.British,Other,Rented.from.a.private.landlord.or.letting.agency,O,E14000690,E09000011
10,Dont.know,Yes.I.voted,Conservative,Leave,10,Female,68,East.of.England,White,Level.2,Owned.outright.by.household,B,E14000981,E07000205
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,71,East.of.England,White,0,Owned.with.a.mortgage.or.loan,E,E14000929,E07000139
3,UKIP,No.I.chose.not.to.vote,0,Leave,"",Female,38,London,White,Dont.know,Rented.from.Housing.Association,K,E14001013,E09000031
10,Conservative,Yes.I.voted,Conservative,"","",Female,44,Wales,White,Other,Being.bought.on.a.mortgage,C,W07000065,W06000009
10,Conservative,Yes.I.voted,Conservative,"","",Male,35,South.East,Asian/Asian.British,Level.4,Being.bought.on.a.mortgage,J,E14000736,E07000090
"",Dont.know,Yes.I.voted,Dont.remember,Dont.know,Dont.know,Prefer.not.to.say,33,Wales,Prefer.not.to.say,0,Prefer.not.to.say,O,W07000056,W06000022
"",Dont.know,Yes.I.voted,Dont.remember,Leave,9,Female,49,Wales,White,Level.2,Owned.with.a.mortgage.or.loan,H,W07000050,W06000015
1,Dont.know,Yes.I.voted,Labour,Dont.know,Dont.know,Female,36,East.Midlands,White,Other,Rented.from.private.landlord,J,E14000843,E07000038
10,Labour,Yes.I.voted,Labour,Remain,10,Female,47,North.West,White,Level.2,Rented.from.council/local.authority,J,E14000570,E06000008
"",Labour,Yes.I.voted,Labour,Leave,0,Female,48,Scotland,White,0,Rented.from.council/local.authority,K,S14000036,S12000015
"",Labour,Yes.I.voted,Labour,Remain,5,Female,64,Wales,White,Level.1,Owned.outright.by.household,D,W07000062,W06000006
0,None.-.wont.vote,No.I.chose.not.to.vote,0,"","",Female,58,Yorkshire.and.The.Humber,White,Other,Rented.from.Local.Authority,L,E14000740,E08000036
8,Conservative,Yes.I.voted,Conservative,Dont.know,10,Male,37,Yorkshire.and.The.Humber,White,Level.4,Rented.from.private.landlord,H,E14000780,E08000035
4,Labour,No.I.chose.not.to.vote,"",Remain,10,Female,Prefer.not.to.say,London,White,Level.4,Rented.from.a.private.landlord.or.letting.agency,O,E14000591,E09000005
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,29,Yorkshire.and.The.Humber,White,Level.1,Owned.with.a.mortgage.or.loan,M,E14000542,E08000016
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,33,East.Midlands,Other.ethnic.group,Level.1,Owned.with.a.mortgage.or.loan,G,E14000610,E07000193
3,Other.party,No.I.chose.not.to.vote,"",Dont.know,6,Female,32,South.East,White,Level.2,Owned.with.a.mortgage.or.loan,G,E14000590,E07000067
10,Dont.know,Yes.I.voted,Labour,Remain,10,Male,29,West.Midlands,White,Level.2,Owned.outright.by.household,O,E14000812,E08000029
"",Would.not.vote,No.I.chose.not.to.vote,"",Remain,1,Male,46,Wales,White,0,Rented.from.council/local.authority,K,W07000076,W06000018
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,63,Scotland,Prefer.not.to.say,0,Owned.with.a.mortgage.or.loan,M,S14000001,S12000033
"",Dont.know,Yes.I.voted,Labour,Leave,10,Male,73,London,White,No.qualifications,Social.housing.rented.other.than.from.council/local.authority,K,E14000721,E09000012
0,Labour,Yes.I.voted,Labour,Leave,"",Female,50,South.East,Asian/Asian.British,Dont.know,Rented.from.private.landlord,N,E14001042,E06000039
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,58,Scotland,White,Level.2,Owned.outright.by.household,F,S14000039,S12000017
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,52,South.East,White,Level.2,Owned.with.a.mortgage.or.loan,F,E14000631,E07000005
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,60,Yorkshire.and.The.Humber,White,Level.2,Owned.outright.by.household,I,E14000699,E07000087
10,Conservative,Yes.I.voted,Conservative,Leave,"",Male,31,North.West,White,Level.3,Rented.from.private.landlord,J,E14000570,E06000008
10,UKIP,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Leave,10,Male,56,North.West,White,Level.4,Owned.outright.by.household,F,E14000847,E06000019
"",Would.not.vote,No.I.chose.not.to.vote,"",Dont.know,Dont.know,Female,55,Wales,White,Level.2,Owned.outright.by.household,G,W07000043,W06000005
10,UKIP,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Leave,10,Female,69,South.East,White,0,Owned.outright.by.household,M,E14000711,E06000035
9,Conservative,Yes.I.voted,Conservative,Remain,"",Male,33,Yorkshire.and.The.Humber,White,Level.4,Owned.outright.by.household,F,E14000917,E07000169
"",Conservative,Yes.I.voted,Dont.remember,Dont.know,8,Male,46,Wales,White,Level.2,Owned.with.a.mortgage.or.loan,G,W07000048,W06000011
0,Dont.know,No.I.chose.not.to.vote,"",Remain,1,Female,Prefer.not.to.say,Wales,White,Level.1,Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency,F,E14000670,E07000108
1,None.-.wont.vote,No.I.chose.not.to.vote,"",Dont.know,4,Female,38,Yorkshire.and.The.Humber,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,J,E14000914,E06000013
5,Dont.know,Yes.I.voted,Dont.remember,Remain,Dont.know,Prefer.not.to.say,71,East.Midlands,Prefer.not.to.say,Level.2,Owned.with.a.mortgage.or.loan,H,E14000671,E08000027
10,Labour,Yes.I.voted,Labour,Remain,5,Female,Prefer.not.to.say,East.Midlands,White,Level.1,Owned.with.a.mortgage.or.loan,O,E14000765,E08000023
"",Dont.know,Yes.I.voted,Conservative,Dont.know,10,Female,42,London,White,Level.3,Rented.from.a.private.landlord.or.letting.agency,H,E14000787,E09000023
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,49,North.West,White,Level.4,Owned.outright.by.household,J,E14000706,E07000119
"",Dont.know,Yes.I.voted,Labour,Remain,10,Female,70,Wales,White,Level.4,Owned.with.a.mortgage.or.loan,E,W07000051,W06000015
"",Conservative,Yes.I.voted,Conservative,Leave,10,Male,58,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,B,W07000046,W06000011
"",Conservative,Yes.I.voted,Conservative,Leave,10,Female,69,Scotland,White,Level.1,Owned.outright.by.household,C,S14000038,S12000018
10,Dont.know,Yes.I.voted,Conservative,Remain,10,Female,57,Wales,White,Level.2,Owned.with.a.mortgage.or.loan,M,W07000055,W06000022
10,Conservative,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Remain,10,Female,34,South.East,White,Level.3,Owned.with.a.mortgage.or.loan,H,E14000786,E07000063
10,Conservative,Yes.I.voted,Conservative,"","",Prefer.not.to.say,Prefer.not.to.say,West.Midlands,White,Level.4,Owned.outright.by.household,C,E14001058,E07000239
10,Conservative,Yes.I.voted,Conservative,"","",Female,57,London,White,Level.3,Owned.outright.by.household,A,E14000727,E09000007
10,Conservative,Yes.I.voted,Conservative,Remain,"",Male,59,Yorkshire.and.The.Humber,White,Dont.know,Being.bought.on.a.mortgage,M,E14000928,E07000163
10,Conservative,Yes.I.voted,Conservative,Remain,"",Female,46,North.West,White,Level.1.or.2,Rented.from.private.landlord,J,E14000897,E08000005
"",Conservative,Yes.I.voted,Conservative,Leave,10,Male,79,Wales,White,Level.4,Living.rent.free,B,W07000051,W06000015
"",Dont.know,Cant.remember,"",Remain,Dont.know,Prefer.not.to.say,31,London,Prefer.not.to.say,Level.4,Prefer.not.to.say,K,E14000789,E09000023
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,47,North.East,White,Level.4,Owned.with.a.mortgage.or.loan,G,E14000855,E06000031
"",Conservative,Yes.I.voted,Conservative,Remain,10,Female,47,Wales,White,Level.2,Owned.with.a.mortgage.or.loan,I,W07000057,W06000002
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,59,South.East,White,Level.2,Owned.outright.by.household,B,E14000699,E07000087
10,Conservative,Yes.I.voted,Conservative,"","",Male,55,East.of.England,White,Level.3,Rented.from.private.landlord,M,E14000968,E07000243
"",Labour,Yes.I.voted,Labour,Dont.know,Dont.know,Female,62,London,Asian./.Asian.British:.Other.Asian,Other,Owned.with.a.mortgage.or.loan,N,E14000731,E09000015
10,Conservative,Yes.I.voted,Conservative,"","",Female,42,East.of.England,Black/Black.British,Level.4,Being.bought.on.a.mortgage,J,E14000800,E06000032
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,65,South.East,White,Level.1.or.2,Owned.outright.by.household,M,E14000670,E07000108
10,Dont.know,Yes.I.voted,Labour,Leave,10,Female,75,North.West,White,Level.1,Owned.outright.by.household,L,E14000963,E08000013
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,46,South.West,White,Level.1.or.2,Being.bought.on.a.mortgage,H,E14001038,E06000024
"",Labour,Yes.I.voted,Labour,Remain,1,Male,55,Scotland,White,Level.1,Social.housing.rented.other.than.from.council/local.authority,I,S14000032,S12000046
9,Labour,Yes.I.voted,Labour,Dont.know,9,Female,52,Yorkshire.and.The.Humber,White,Level.1,Owned.with.a.mortgage.or.loan,I,E14000740,E08000036
10,Labour,Yes.I.voted,Labour,Leave,10,Male,70,North.East,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,L,S14000044,S12000040
8,Conservative,Yes.I.voted,Conservative,Dont.know,"",Male,71,West.Midlands,White,Level.3,Owned.outright.by.household,D,E14000980,E07000082
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,62,North.West,White,Level.2,Owned.outright.by.household,B,E14000894,E07000126
10,Dont.know,Yes.I.voted,UKIP,Dont.know,10,Female,29,East.Midlands,White,Level.2,Owned.with.a.mortgage.or.loan,H,E14000922,E08000019
7,Dont.know,Yes.I.voted,Conservative,Remain,8,Female,66,South.East,White,Level.2,Owned.with.a.mortgage.or.loan,N,E14000607,E07000172
10,Dont.know,Yes.I.voted,Labour,Remain,10,Female,33,South.West,White,Level.2,Owned.with.a.mortgage.or.loan,O,E14000803,E06000040
9,Conservative,Yes.I.voted,Conservative,Remain,10,Male,36,Wales,White,Level.2,Owned.outright.by.household,I,E14000550,E07000006
9,Conservative,Yes.I.voted,Conservative,Leave,9,Male,50,West.Midlands,White,Level.1,Owned.outright.by.household,F,E14000667,E08000017
1,Labour,No.I.chose.not.to.vote,"",Remain,1,Male,32,Yorkshire.and.The.Humber,White,Level.1,Owned.with.a.mortgage.or.loan,I,E14000667,E08000017
"",Would.not.vote,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,62,Scotland,White,Level.4,Owned.outright.by.household,G,S14000021,S12000011
"",UKIP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,61,Scotland,White,Other,Rented.from.council/local.authority,L,S14000048,S12000021
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,41,North.East,White,Level.3,Owned.outright.by.household,E,E14001046,E07000181
10,Labour,Yes.I.voted,Liberal.Democrat,Remain,"",Male,61,Yorkshire.and.The.Humber,White,Level.3,Owned.outright.by.household,D,E14000556,E06000011
"",Labour,Yes.I.voted,Labour,Remain,10,Male,64,Scotland,White,Apprenticeship,Owned.outright.by.household,M,S14000006,S12000028
10,Conservative,Yes.I.voted,Conservative,Remain,9,Female,53,North.West,White,Level.1,Owned.outright.by.household,F,E14001010,E08000015
"",Dont.know,Yes.I.voted,Other.party,Remain,10,Male,39,London,White,Level.4,Owned.with.a.mortgage.or.loan,O,E14000657,E09000002
10,UKIP,Yes.I.voted,UKIP,Dont.know,10,Female,74,East.of.England,White,Level.1,Owned.outright.by.household,E,E14000939,E07000140
10,Labour,Yes.I.voted,Liberal.Democrat,"","",Female,32,London,White,Level.4,Rented.from.private.landlord,O,E14000593,E09000018
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,7,Male,43,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,O,S14000044,S12000040
10,Green.Party,Yes.I.voted,UKIP,"","",Female,62,South.East,White,Level.3,Owned.outright.by.household,B,E14001004,E07000116
10,Dont.know,Yes.I.voted,Conservative,Remain,10,Female,63,Yorkshire.and.The.Humber,White,Level.2,Owned.outright.by.household,E,E14000921,E08000019
"",Conservative,Yes.I.voted,Conservative,Remain,10,Female,61,London,White,Level.3,Owned.with.a.mortgage.or.loan,A,E14000768,E09000020
10,Labour,Yes.I.voted,Labour,Dont.know,Dont.know,Female,Prefer.not.to.say,East.Midlands,White,Level.4,Owned.with.a.mortgage.or.loan,L,S14000012,S12000045
8,Liberal.Democrat,Yes.I.voted,Scottish.National.Party.SNP,Remain,"",Male,Prefer.not.to.say,Scotland,Mixed,Level.4,Being.bought.on.a.mortgage,M,S14000033,S12000046
10,UKIP,Yes.I.voted,UKIP,"","",Male,74,East.of.England,White,No.formal.qualifications,Rented.from.Housing.Association,J,E14000757,E07000011
"",Labour,Yes.I.voted,Labour,Leave,10,Female,56,Scotland,White,Level.1,Rented.from.council/local.authority,O,S14000006,S12000028
"",Liberal.Democrat,Yes.I.voted,Conservative,Dont.know,5,Female,33,Wales,White,Level.2,Prefer.not.to.say,J,W07000076,W06000018
"",UKIP,Yes.I.voted,UKIP,Leave,10,Male,54,London,White,Level.2,Rented.from.council/local.authority,I,E14000654,E09000008
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,44,East.Midlands,White,Level.1,Owned.outright.by.household,B,E14000926,E06000051
"",Dont.know,Yes.I.voted,Liberal.Democrat,Leave,10,Male,34,Wales,White,Level.1,Rented.from.council/local.authority,D,W07000064,W06000008
4,UKIP,Yes.I.voted,UKIP,Leave,10,Female,46,Yorkshire.and.The.Humber,White,Level.2,Owned.with.a.mortgage.or.loan,H,E14000589,E08000032
10,UKIP,Yes.I.voted,Labour,Leave,10,Female,49,Wales,White,Level.1,Rented.from.council/local.authority,K,W07000069,W06000012
1,None.-.wont.vote,No.I.chose.not.to.vote,0,Leave,0,Female,49,London,White,No.qualifications,Rented.from.council/local.authority,I,E14001047,E07000217
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,31,South.East,White,Level.3,Owned.outright.by.household,H,W07000060,W06000004
10,Conservative,Yes.I.voted,Conservative,Leave,"",Female,65,East.of.England,White,No.formal.qualifications,Being.bought.on.a.mortgage,M,E14000729,E07000073
10,Labour,Yes.I.voted,Labour,Leave,10,Male,48,North.West,White,Level.1.or.2,Rented.from.Local.Authority,I,E14000688,E06000050
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,Prefer.not.to.say,Scotland,White,Level.4,Owned.with.a.mortgage.or.loan,O,E14000896,E09000021
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,30,North.East,White,Level.2,Owned.outright.by.household,O,E14000632,E07000034
10,Dont.know,Yes.I.voted,UKIP,Leave,10,Male,49,East.of.England,White,Other,Being.bought.on.a.mortgage,J,E14000981,E07000205
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Dont.know,6,Male,32,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,O,S14000001,S12000033
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,10,Female,63,Yorkshire.and.The.Humber,White,Level.4,Owned.outright.by.household,B,E14000922,E08000019
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,68,East.Midlands,White,Level.1,Owned.outright.by.household,L,E14000855,E07000011
"",Dont.know,No.I.chose.not.to.vote,"",Remain,4,Female,30,Scotland,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,O,S14000016,S12000042
"",Labour,Yes.I.voted,Labour,Remain,10,Male,46,Scotland,White,Level.4,Owned.outright.by.household,G,S14000028,S12000014
10,Conservative,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Remain,10,Male,63,South.East,White,Level.1,Owned.with.a.mortgage.or.loan,B,E14000818,E07000238
1,None.-.wont.vote,No.I.chose.not.to.vote,0,"","",Male,58,Yorkshire.and.The.Humber,White,Level.1.or.2,Owned.outright.by.household,B,E14000548,E08000034
"",Dont.know,Yes.I.voted,Labour,Remain,10,Female,32,London,Black./.African./.Caribbean./.Black.British,Level.4,Rented.from.a.private.landlord.or.letting.agency,O,E14001013,E09000031
8,Liberal.Democrat,No.I.chose.not.to.vote,0,Leave,10,Male,60,West.Midlands,White,Level.1.or.2,Being.bought.on.a.mortgage,M,E14001011,E08000030
10,Conservative,No.I.wanted.to.vote.but.was.unable.to.do.so,0,"","",Male,30,Yorkshire.and.The.Humber,White,Level.4,Rented.from.private.landlord,O,E14000781,E08000035
0,None.-.wont.vote,No.I.chose.not.to.vote,0,Dont.know,"",Male,57,East.Midlands,White,Other,Owned.outright.by.household,K,E14000843,E07000034
10,Conservative,Yes.I.voted,Conservative,"","",Female,27,East.of.England,Asian/Asian.British,Level.3,Being.bought.on.a.mortgage,N,E14000878,E06000031
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,44,South.East,White,Level.1.or.2,Owned.outright.by.household,G,E14000959,E07000213
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,65,Prefer.not.to.say,White,0,Prefer.not.to.say,C,E14000554,E06000057
6,Labour,Yes.I.voted,Dont.remember,Remain,6,Female,28,London,White,0,Social.housing.rented.other.than.from.council/local.authority,O,E14000965,E07000197
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,35,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,H,S14000033,S12000046
"",UKIP,Yes.I.voted,Labour,Leave,10,Male,75,Wales,White,Level.2,Owned.outright.by.household,B,W07000079,W06000015
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,39,Scotland,White,Level.4,Owned.with.a.mortgage.or.loan,B,S14000058,S12000034
1,UKIP,No.I.chose.not.to.vote,"",Leave,10,Male,67,South.East,White,Level.1,Rented.from.council/local.authority,E,E14000856,E06000047
10,Labour,Yes.I.voted,Green.Party,Remain,10,Male,47,East.Midlands,White,Level.4,Being.bought.on.a.mortgage,I,E14000648,E07000150
10,Labour,Yes.I.voted,Labour,Leave,10,Female,59,East.of.England,White,Level.2,Social.housing.rented.other.than.from.council/local.authority,N,E14000659,E07000107
"",Labour,Yes.I.voted,Labour,Remain,8,Male,29,London,Asian./.Asian.British:.Pakistani,Level.1,Living.rent.free,N,E14000676,E09000009
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,34,South.West,White,Level.2,Owned.outright.by.household,D,E14000549,E09000032
10,Green.Party,No.I.was.ineligible.to.vote.in.that.General.Election,blank,Remain,10,Male,35,Yorkshire.and.The.Humber,White,Level.4,Rented.from.private.landlord,O,E14001061,E06000014
7,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Dont.know,Dont.know,Female,24,Scotland,White,Level.3,Owned.outright.by.household,H,S14000013,S12000006
10,Conservative,Yes.I.voted,Other.party,Remain,10,Female,55,West.Midlands,White,0,Prefer.not.to.say,L,N06000018,N09000005
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Dont.know,7,Female,43,Scotland,White,No.qualifications,Social.housing.rented.other.than.from.council/local.authority,K,S14000055,S12000017
10,Labour,Yes.I.voted,Labour,"","",Female,30,Wales,Asian/Asian.British,Level.3,Being.bought.on.a.mortgage,O,W07000047,W06000011
"",Dont.know,Yes.I.voted,Dont.remember,Remain,7,Female,58,Wales,White,Level.1,Owned.outright.by.household,J,W07000052,W06000016
"",Would.not.vote,Yes.I.voted,Conservative,Dont.know,1,Female,50,Wales,White,0,Owned.with.a.mortgage.or.loan,H,W07000079,W06000015
10,Green.Party,Yes.I.voted,Green.Party,Leave,10,Female,Prefer.not.to.say,North.West,White,Level.1,Owned.with.a.mortgage.or.loan,O,E14000531,E08000030
6,UKIP,Yes.I.voted,UKIP,Leave,7,Female,52,Yorkshire.and.The.Humber,White,Level.2,Rented.from.council/local.authority,M,E14000766,E08000032
10,Labour,Yes.I.voted,Conservative,Remain,10,Male,35,South.West,White,Level.2,Owned.outright.by.household,G,E14000665,E06000054
10,UKIP,Yes.I.voted,UKIP,Remain,6,Female,50,East.of.England,White,Level.1,Owned.with.a.mortgage.or.loan,F,E14001022,E07000206
"",Labour,No.I.chose.not.to.vote,"",Remain,7,Male,52,Wales,White,Level.1,Owned.outright.by.household,F,W07000052,W06000016
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,10,Female,34,East.Midlands,White,Level.2,Shared.ownership.part.owned.and.part.rented,J,E14000533,E07000032
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,65,North.West,White,Level.4,Prefer.not.to.say,B,E14001057,E07000123
"",Dont.know,Cant.remember,"",Leave,7,Female,71,London,White,0,Owned.outright.by.household,B,E14000872,E09000006
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,32,West.Midlands,White,Other,Other/Dont.know,J,E14000812,E08000029
0,None.-.wont.vote,No.I.chose.not.to.vote,0,"","",Female,53,East.of.England,White,Other,Owned.outright.by.household,F,E14000960,E07000240
4,Green.Party,No.I.chose.not.to.vote,0,Leave,1,Female,46,North.West,White,Level.4,Rented.from.private.landlord,G,E14000747,E08000005
"",Conservative,Yes.I.voted,Labour,Leave,10,Male,63,Scotland,White,Apprenticeship,Owned.outright.by.household,D,S14000006,S12000008
1,Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Dont.know,Dont.know,Female,26,London,White,Level.1,Social.housing.rented.other.than.from.council/local.authority,K,W07000069,W06000012
1,Labour,Yes.I.voted,Labour,Dont.know,Dont.know,Female,44,East.of.England,White,0,Prefer.not.to.say,A,W07000071,W06000024
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,41,East.Midlands,White,Level.1,Owned.with.a.mortgage.or.loan,M,E14000665,E06000054
